"NAME","P0050001","P0050002","P0050003","P0050004","P0050005","P0050006","P0050007","P0050008","P0050009","P0050010","P0050011","P0050012","P0050013","P0050014","P0050015","P0050016","P0050017","FIPS"
"Colorado Springs, CO Metro Area",645613,550654,469095,35896,3860,16647,1931,1162,22063,94959,49171,2706,2299,573,275,29633,10302,"17820"
"Columbia, MO Metro Area",172786,167769,140917,15470,568,6137,85,319,4273,5017,3014,173,103,33,12,1192,490,"17860"
"Columbia, SC Metro Area",767598,728445,447927,252329,2259,12543,523,995,11869,39153,15589,2775,487,161,135,16878,3128,"17900"
"Columbia, TN Micro Area",80956,77047,64919,10076,232,482,21,62,1255,3909,1758,78,33,7,8,1698,327,"17940"
"Columbus, GA-AL Metro Area (part); Columbus, GA-AL Metro Area (part)",294865,277969,147518,117386,995,4872,582,551,6065,16896,7200,1637,188,103,64,5784,1920,"17980"
"Columbus, IN Metro Area",76794,72032,66817,1360,145,2622,37,99,952,4762,2007,60,64,10,11,2350,260,"18020"
"Columbus, MS Micro Area",59779,58865,31847,25904,98,394,31,34,557,914,412,89,15,5,0,298,95,"18060"
"Columbus, NE Micro Area",32237,27785,27167,128,97,149,6,37,201,4452,1854,17,122,2,6,2176,275,"18100"
"Columbus, OH Metro Area",1836536,1770076,1394399,270255,3544,56906,839,3434,40699,66460,29197,3305,708,368,88,27074,5720,"18140"
"Concord, NH Micro Area",146445,144106,138048,1452,355,2307,40,104,1800,2339,1561,78,36,18,1,380,265,"18180"
"Connersville, IN Micro Area",24277,24054,23392,318,30,79,0,15,220,223,140,4,2,2,0,59,16,"18220"
"Cookeville, TN Micro Area",106042,101818,97771,1536,328,892,20,50,1221,4224,1723,36,110,9,28,2053,265,"18260"
"Coos Bay, OR Micro Area",63043,59652,54820,234,1467,644,104,75,2308,3391,1798,24,122,16,13,997,421,"18300"
"Corbin, KY Micro Area",35637,35327,34521,205,93,123,11,10,364,310,183,0,5,6,2,54,60,"18340"
"Cordele, GA Micro Area",23439,22691,12216,10033,24,183,6,15,214,748,271,46,8,0,5,405,13,"18380"
"Corinth, MS Micro Area",37057,36047,31313,4209,62,116,5,28,314,1010,343,12,15,1,3,573,63,"18420"
"Cornelia, GA Micro Area",43041,37708,34621,1412,81,955,47,34,558,5333,2272,32,114,5,18,2679,213,"18460"
"Corning, NY Micro Area",98990,97619,93476,1487,193,1151,14,66,1232,1371,839,53,37,10,3,277,152,"18500"
"Corpus Christi, TX Metro Area",428185,180954,155550,13338,1169,6444,260,473,3720,247231,197743,1673,1516,279,75,39313,6632,"18580"
"Corsicana, TX Micro Area",47735,36390,28587,6490,155,239,380,40,499,11345,4555,116,150,14,2,5938,570,"18620"
"Cortland, NY Micro Area",49336,48242,46252,705,126,412,3,14,730,1094,649,55,11,4,2,257,116,"18660"
"Corvallis, OR Metro Area",85579,80112,71552,715,493,4404,199,156,2593,5467,2954,44,134,25,14,1829,467,"18700"
"Coshocton, OH Micro Area",36901,36622,35632,391,78,103,2,18,398,279,178,4,3,0,1,63,30,"18740"
"Crawfordsville, IN Micro Area",38124,36385,35374,307,72,209,6,29,388,1739,935,20,26,4,0,671,83,"18820"
